,Job Title,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Junior Data Analyst,"Role: Junior Data Analyst

Location: Gurgaon, India

GroundTruth is the leading global location platform that leverages data and insights to drive business performance. Using its proprietary Blueprints technology, GroundTruth is able to learn about mobile users and reach them at the right place and right time, ultimately helping companies make smarter marketing decisions, increase sales, and grow their businesses. Since its foundation in 2009, GroundTruth has launched several innovative products and won numerous awards, including Inc. 5000s Fast Growing Private Companies and Deloitte's Fast 500 Technology companies. Today, we're proud to employ over 400 employees across three continents and serve millions of marketers across 21 countries. Learn more: www.groundtruth.com

This will be an exciting and challenging role that will enable you to work with very large data sets, expose you to cutting edge analysis techniques, work with the latest components in cloud architecture and gain experience in the usage of location data to drive businesses. As an early member you will have significant opportunities for growth within the organization. A successful applicant will be passionate about technology and developing a deep understanding of human behavior in the real world. They would also have excellent communication skills, be able to synthesize and present complex information and be a fast learner.

You will:

• Learn about location-driven marketing and how companies are using location signals to drive their business

• Work closely with marketing, growth strategy and sales teams based out of our offices in USA, UK, Germany

• Develop re-usable tools and templates to quickly create data driven narratives

• Gather requirements, design analyses, identify data sources and define measurement metrics to present insights and recommendations for ready consumption

• Be responsible for managing your work pipeline and creating re-usable analysis and documentation

You have:

• BA/BSc/B.E./BTech degree in Computer Science, Statistics, Mathematics, Economics, Physics or related fields

• 1-2 years of experience in working with data and conducting statistical and/or numerical analysis

• Strong understanding of how data can be stored and accessed in different structures

• Experience with writing computer programs to solve problems

• Strong understanding of data operations such as sub-setting, sorting, merging, aggregating and CRUD operations

• Ability to write SQL code and familiarity with R/Python, Linux shell commands

• Be willing and able to quickly learn about new businesses, database technologies and analysis techniques

• Ability to tell a good story and support it with numbers and visuals

• Strong oral and written communication

•

How you can impress us:

• Experience working with large datasets

• Experience with AWS analytics infrastructure (Redshift, S3, Athena, Boto3)

• Experience building analytics applications leveraging R, Python, Tableau, Looker or other • Experience in geo-spatial analysis with POSTGIS, QGIS

We operate in a fast paced, dynamic environment where everyone on the team is committed to the success and growth of GroundTruth. Our culture is highly entrepreneurial and our success comes from our employees who voice their opinions and ideas to facilitate growth to our bottom line. We reward hard work, support career development, offer comprehensive benefits, and foster a fun and friendly work environment.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status",3.3,"GroundTruth
3.3",Gurgaon,"New York, NY",201 to 500 employees,2009,Company - Private,-1,-1,Unknown / Non-Applicable,-1
1,Senior Solutions Architect,"Title: Senior Solutions Architect

Location: Bangalore, India

Big Data Solution Architect // Join the Game-Changers in Big Data //Bangalore, India

Looking for an opportunity to bring your Hadoop experience and advanced Big Data solution expertise to a like-minded team of Big Data experts? If you are inspired by innovation, hard work, and a passion for data, we want to hear from you.

Mission

phData was founded with the mission to be the premier provider of Big Data services including Hadoop, Spark, and Kafka. phData currently supports its clients' Big Data infrastructure through world-class managed services and architecture, engineering, and data science consulting. phData's dedication to Big Data has proven to be a differentiator in the industry. Numerous Fortune 500 companies and other industry leading businesses turn to phData when they need Big Data solutions implemented right the first time.

Solutions

phData delivers innovation through data-driven, cloud-first solutions and enables its customers to ask questions that have never been asked before. phData's outstanding results are achieved through a combination of exceptional technical aptitude and a company culture driven by the core values of collaboration, trust, and service.

Senior Solutions Architect - Managed Services

We are currently seeking qualified Solutions Architects to join our growing Managed Services team in Bangalore, India as we continue our rapid growth with an expansion of our Indian subsidiary, phData Solutions Private Limited. With increasing customer demand for Big Data solutions, this expansion comes at the right time. This expansion will triple phData's current capacity and allow more customers access to phData's 24x7 support and solutions.

In addition to a phenomenal growth and learning opportunity, we offer a competitive compensation plan including base salary, annual bonus, training, certifications and equity.

As a Senior Solutions Architect on our Consulting Team, you will be responsible for scoping large scale, complex technology projects related to development of big data solutions. Partner with our technical infrastructure teams (Managed Services) and key client stakeholders to find creative solutions to tough data problems.

Responsibilities include:
Owns execution of Stories and questions or escalations of Tasks for multiple projects. Owns client relationships.
Challenge and improve standard processes/procedures. Solves hard and challenging problems. Goes deep into customer processes and workflows to solve issues. Owns on going incident communication with customers. Contribute back to base repos.
Writes python and SQL. Maybe writes scala/java, reads scala/java, and deep JVM knowledge. Also help answer questions and troubleshoot. And own escalations with resolution. Available as an escalation point for complex issues and code optimization
Is prescriptive with customers on how best to use the Hadoop Platform. Directs development teams on best practices. Can answer most any question on the platform.
Deep understanding of Cloudera Manager. Deep understanding of phData automation. Can build a cluster in AWS from scratch and configure it for security. Is always looking for ways to automate and optimize existing tasks to improve overall service efficiency
Continually grow, learn, and stay up-to-date with the MS stack of technology. Become SME on one more more key technologies. Pays particular attention to process improvement
Responds to Pager Incidents by restoring service and communicating to customer within SLAs. Documents findings and creates task for root cause analysis follow-up. Completes and communicates RCA results. Implements recommended fix. Makes recommendations for other customers as a result.
Great communication. Lead weekly stand-up meeting. Escalate issues. Drive direction of account. Understand the needs of the customer. Delegate tasks. Keep team and runbook up to date. Coordinate maintenance activities. Ensure ansible is up to date. Design new ansible workflows that can be used at multiple clients
Keep accurate time. Respond to customers with prompt, clear, and concise communication. Follow customer processes/procedures. Responsible for overall performance of team and advises on process improvement
Share knowledge with team and train junior team members. Ask good questions on slack. Answer questions on Slack and share best practices",3.0,"phData
3.0",Bengaluru,"Minneapolis, MN",51 to 200 employees,2014,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
2,"Advisor, Data Science & Analytics","What We'll Bring:

TransUnion, a global information and insights company, is seeking a highly-skilled Advisor for its Data Science & Analytics team.

You will apply your analytical skills to work on all aspects of the account lifecycle in the consumer credit domain on behalf of a diverse set of clients, ranging from marketing and propensity models for customer acquisition and retention, fraud detection solutions, credit risk models for acquisition and account management, cross-sell applications, portfolio models for regulatory applications, event-based trigger solutions, and strategy analyses of various kinds. You will also develop complex analytic solutions to help streamline Transunion’s IT operations, improve data quality and customer experience partnering with other departments.

Advancement opportunities exist in both a technical and managerial track depending on the candidate’s desires and aptitudes.

What You'll Bring:

Dynamics of the Role

TransUnion, a global information and insights company, is seeking a highly-skilled Advisor for its Data Science & Analytics team.

You will apply your analytical skills to work on all aspects of the account lifecycle in the consumer credit domain on behalf of a diverse set of clients, ranging from marketing and propensity models for customer acquisition and retention, fraud detection solutions, credit risk models for acquisition and account management, cross-sell applications, portfolio models for regulatory applications, event-based trigger solutions, and strategy analyses of various kinds. You will also develop complex analytic solutions to help streamline Transunion’s IT operations, improve data quality and customer experience partnering with other departments.

Advancement opportunities exist in both a technical and managerial track depending on the candidate’s desires and aptitudes.

The Team’s Focus

The Data Science & Analytics team is an industry-recognized, client-facing department that rewards an entrepreneurial spirit. We have deep technical expertise and an established reputation as an analytic solutions provider in the consumer identity and credit information space. We have a wealth of data and industry experience within our large group of highly-trained analysts, data scientists, engineers, and economists. We also have a modern computing environment based on best-in-class “big data” technologies and the freedom to explore new data sources and statistical and machine learning methodologies. All of these resources will enable you to help us deliver next-generation analytic solutions for our customers.

How You’ll Contribute

This position is responsible for developing data-driven solutions to challenging and complex problems related to IT infrastructure/ operations, data ingestion and quality control, and enhancing customer experience. You will also be responsible for consumer credit models, strategies, and business intelligence solutions through consulting engagements and research serving TransUnion and its clients. This position requires an understanding of consumer lending, credit risk management practices, IT operations and process engineering.
You will partner with internal and external cross-functional teams to drive new business initiatives and deliver long term value-added product propositions for B2B customers in the financial services segment at TransUnion. This includes but is not limited to the development of predictive risk management and business intelligence solutions for credit card issuers, auto & mortgage lenders, collections agencies and retail banks.
You will lead analytic client engagements involving descriptive, predictive, and prescriptive analysis leveraging a variety of techniques (e.g., segmentation, logistic regression, survival analysis, principal component analysis, Monte Carlo simulation, scenario and sensitivity analysis) to address client needs that may, at first, not be clearly defined.
You will design and write programs for data extraction, segmentation and statistical analysis on large population datasets using languages such as R, SAS, Python, SQL, Hive, and Pig on Linux, PC, and mainframe computing platforms.
You will deliver analytic insights and recommendations in succinct and compelling presentations for internal and external customers and an executive audience.
You will develop project proposals, sales presentations, and promotional collateral to enable the adoption of integrated customer solutions supported by TransUnion.
You will identify strategies and opportunities for customers to test and adopt TransUnion’s analytic products and services.
You will provide mentorship and training to junior colleagues and maintain progress on all initiatives without supervision.
You will foster a high-performance culture and cultivate an environment that promotes excellence and reflects the TransUnion brand.
What You’ll Bring
Master’s or PhD degree in statistics, applied mathematics, financial mathematics, engineering, operations research, or another highly quantitative field. A track record of academic excellence
Seven (7) or more years of professional experience performing analytic work in Financial Services, Technology or related industries. Experience applying advanced analytics to planning and infrastructure problems is preferred.
Deep professional expertise in one or more subject-matter areas or technical disciplines that would complement and significantly enhance TransUnion’s existing analytic capabilities. A consistent record of applying this expertise to drive positive outcomes, and a passion for sharing it with colleagues and business partners.
Multiple examples of demonstrated success in client-facing roles over a period of at least five (5) years
Ability to travel 10-20%
Strong analytical, critical thinking, and creative problem-solving skills
Advanced programming skills; mastery of a statistical language such as R or SAS; experience using other programming and data manipulation languages (SQL, Hive, Pig, Python, C/C++, Java); proficiency with Microsoft Office tools
Versatile interpersonal and communication style with the ability to effectively communicate at multiple levels within and outside the organization; ability to work in a collaborative, fast-paced environment
Strong project management skills with the ability to manage multiple assignments effectively
A deep understanding of current industry challenges and trends at the level needed to proactively identify customers’ analytical needs and related business opportunities

Impact You'll Make:

What We Offer

We aim high — and are reaching for new heights every day. This is a terrific time to join our team as we build on our commitment to integrity, service, reliability and innovation. These values stand behind the decisions we make every day, as well as our relationships at work and with the customers we serve. We believe in the power to achieve and are taking it in bold new directions.

Who We Are

A global leader in credit information and information management services, TransUnion gives businesses, consumers and the global community the power to achieve their goals. Businesses count on us to better manage risk and customer relationships. Consumers are able to better manage credit to achieve their financial goals. And in communities around the world, we help build strong economies and give people the power to achieve their dreams.

Exceptional opportunities are coming as we build on this strong foundation. Our ambitious growth strategy includes substantial new investment worldwide, a wide range of new solutions to help our customers succeed like never before, and new ideas for expanding our reach in every part of our dynamic and fast-moving industry. We’re on an exciting journey and you can be a part of it.

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.

TransUnion Job Title

Advisor, Data Science and Analytics",4.0,"TransUnion
4.0",Chennai,"Chicago, IL",5001 to 10000 employees,1968,Company - Public,Financial Analytics & Research,Finance,₹100 to ₹500 billion (INR),-1
3,Data Scientist,"Job Description – Data Scientist

Location: Chennai or Bengaluru, India


Buckman is a privately held, global specialty chemical company with headquarters in Memphis, TN, USA, committed to safeguarding the environment, maintaining safety in the workplace, and promoting sustainable development. Buckman works proactively and collaboratively with its worldwide customers in pulp and paper, leather, and water treatment to deliver exceptional service and innovative specialty chemical solutions to help boost productivity, reduce risk, improve product quality, and provide a measurable return on investment. Buckman is in the middle of a digital transformation of its businesses and focused on building the capabilities and tools in support of this.

Job Description


Buckman is seeking an experienced Data Scientist to lead the development of a Data Science program. You will work closely with Buckman stakeholders to derive deep industry knowledge across paper, water, leather, and performance chemical industries. You will help develop a data strategy for the company including collection of the right data, creation of the data science project portfolio, partnering with external providers, and augmenting capabilities with additional internal hires. A large part of the job is communicating and developing relationship with key stakeholders and subject matter experts to tee up proofs of concept projects to demonstrate how data science can be used to solve old problems in unique and novel ways. You will not have a large internal team to rely on, at least initially, so individual expertise, breadth of data science knowledge, and ability to partner with external companies will be essential for success. In addition to the pure data science problems, you will be working closely with a multi-disciplinary team consisting of sensor scientists, software engineers, network engineers, mechanical/electrical engineers, and chemical engineers in the development, and deployment of IoT solutions. If you like working for an entrepreneurial company with a Sustainability mission and digital ambitions at the core of its strategy, Buckman is the place for you.

Basic Qualifications
Bachelor’s degree in a quantitative field such as Data Science, Statistics, Applied Mathematics, Physics, Engineering, or Computer Science
5+ years of relevant working experience in an analytical role involving data extraction, analysis, and visualization and expertise in the following areas:
Expertise in one or more programming languages R, Python, MATLAB, JMP, Minitab, Java, C++, Scala
Key libraries such as Sklearn, XgBoost, GLMNet, Dplyr, ggplot, Rshiny
Experience and knowledge of data mining algorithms including supervised and unsupervised machine learning techniques areas such as Gradient Boosting, Decision Trees, Multivariate Regressions, Logistic regressions, Neural Network, Random Forest, Support Vector Machine, Naive Bayes, Time Series, Optimization
Microsoft IoT/data science toolkit: Azure Machine Learning, Datalake, Datalake analytics, Workbench, IoT Hub, Stream Analytics, CosmosDB, Time Series Insights, PowerBI
Data querying languages (e.g. SQL, Hadoop/Hive) and Preferred Qualifications
A demonstrated record of success with a verifiable portfolio of problems tackled
Preferred qualifications
Master’s or PhD degree in a quantitative field such as Data Science, Statistics, Applied Mathematics, Physics, Engineering, or Computer Science
Experience in the specialty chemicals sector or similar industry
Background in engineering, especially Chemical Engineering
Experience starting up a data science program
Experience working with global stakeholders
Experience working in a start-up environment, preferably in an IoT company
Knowledge in quantitative modeling tools and statistical analysis
Personality Traits
A strong business focus, ownership and inner self-drive to data science solutions to real-world customers with tangible impact.
Ability to collaborate effectively with multi-disciplinary and passionate team members.
Ability to communicate with a diverse set of stakeholders
Strong planning and organization skills, with the ability to manage multiple complex projects
A life-long learner who constantly updates skills",3.5,"Buckman
3.5",Chennai,"Memphis, TN",1001 to 5000 employees,1945,Company - Private,Chemical Manufacturing,Manufacturing,₹50 to ₹100 billion (INR),-1
4,Data Science (Jupyter/Azure ML/MatLab),"Accenture Technology powers our clients businesses with innovative technologiesestablished and emergingchanging the way their people and customers experience work, life and entertainment. Join Accenture Technology and youll translate the operational needs of the worlds governments and leading businesses into the innovative technical solutions that will enable them to better serve their customersyour friends, family and neighbors.Youll deliver everything from point solutions for a single business function to large, long-term outsourcing services, to complex systems integration installations spanning multiple businesses and functions. Youll create custom-designed solutions or integrate our technology platforms with their operations.

Role :Digital Data Engineering Practitioner
Role Description :Develop analytics based solutions that produce quantitative and qualitative business insights. Work with partners as necessary to integrate systems and data quickly and effectively, regardless of technical challenges or business environments.
Must Have Skills :Data Science (Jupyter/Azure ML/MatLab)
Good To Have Skills :Python Scripting,R Programming,Spark Programming
Job Requirements : Role: Data Scientist
Must Have:
1 Exp in Data science frameworks Jupyter notebook, AWS Sagemaker etc
2 Exp querying databases and using statistical computer languages: R, Python, SLQ, etc
3 Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis,
4 Exp with distributed data/computing tools: Map/Reduce, Flume, Drill, Hadoop, Hive, Spark, Gurobi, MySQL

Good to Have:
1 Coding knowledge and experience with several languages: C, C, Java, JavaScript, NodeJS
2 Experience using cloud services: RDS, Athena, Redshift, Kinesis, S3, AWS glue
3 Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks
4 Exp in visualizing/presenting data for stakeholders using: AWS Quicksight, Tableau, Periscope, Business Objects, D3, ggplot",3.9,"Accenture
3.9",Hyderabad,"Dublin, Ireland",10000+ employees,1989,Company - Public,Consulting,Business Services,₹500+ billion (INR),"Cognizant Technology Solutions, EY, McKinsey & Company"
5,Sr Advisor Data Engineering,"Job Title: Sr Advisor, Data Engineering

Location: Bangalore

Competitive Salary

Company Description:

Dell is a collective of customer-obsessed, industry-leading visionaries. At our core is a commitment to diversity, sustainability and our communities. We offer unparalleled growth and development opportunities for our team members. We believe that technology is essential for driving human progress, and we’re committed to providing that technology to people and organizations everywhere, so they can transform the way they work and live.

Why Work For Us:

Dell is primed to recruit the best and brightest candidates from all across the globe. We take pride in fostering a winning, innovative, inclusive employee culture. We also take calculated risks and we celebrate big victories when they pay off.

Our Employee Value Proposition:

Our Culture Code unites us and makes us a great family of companies and a great place to work. It’s how we run the business, go to market, work together and provide inspirational leadership. Our culture code is defined by our values and are made real every day by defining expectations for how we work and how we lead.

About Business Unit:

We provide solutions to drive the business and decision making by delivering on-demand business insights and solutions that emphasize one version of the truth and data integrity.

Role Overview:

Interacts with business leaders and internal customers to create and establish design standards and assurance processes for software, systems and applications development to ensure compatibility and operability

Analyzes business goals, defines project scope and identifies functional and technical requirements

The job function may include the following disciplines: Data analysis and science, data architecture and solutions engineering, visual design and analytics enablement and internal consulting

Key Responsibilities:

Develops technical processes and programming to cleanse, organize and transform data and to maintain, protect and update data structures and integrity on an automated basis.

Applies data extraction, transformation, and loading techniques in order to tie together large data sets from a variety of sources

Partners with both internal & external resources to design, build and oversee the deployment and operation of technology architecture, solutions and software

Designs, develops and programs methods, processes and systems to capture, manage, store and utilize structured and unstructured data to generate actionable insights and solutions

Responsible for the maintenance, optimization, improvement, cleaning, and manipulation of data in the business’s operational and analytics databases

Work in collaboration with data engineers, data scientists, architects and business to design actionable strategic projects and break complex problems into actionable tasks

Essential Requirements:

Pulls together cross-functional teams in order to achieve goals and serves as expert spokesperson

Builds assigned solutions within the infrastructure provided for optimal extraction, transformation, and loading of data from a limited set of structured data sources using specified data engineering tools

Follows data engineering process standards and participates in testing of new data engineering technologies, providing feedback to leadership for global data solutions.

Drives assigned projects that deliver improvement any one of the following five data stages: ingestion, storing, packaging, modeling and consumption.

Drives projects with a short-term (

Build/maintain analysis, monitoring, and productivity tools

Integrates medium to large structured data sets that meet business requirements

Proactively monitors and manages data design tenets and drives corrective actions regarding data quality issues

Provides leadership support in on-board training and mentoring junior level data engineers

Responsible for data engineering project deliverables, timeline commitments and cost management

Desirable Requirements:

Passion for innovation and the application of emerging data technologies to the delivery of cutting-edge business intelligence solutions, and the ability to quickly learn new tools/technologies as required.

Experienced in working both independently and in a collaborative, cross-functional team environment.

Strong verbal/written communication and presentation skills. Ability to clearly discuss applied big data platforms and applied solution designs to both technical and non-technical peers.

Strong understanding of business functions, CRM transactional systems, data sets, data relationships and KPI measures.

Strong project management and organizational skills.

Strives for professional development

Customer focused

Experienced in coaching/training data engineering teams

Strong skills in building processes supporting data transformation, data structures, metadata dependency and workload management

""Strong knowledge and experience in key data engineering technologies, including:

- Big Data Tools(Spark, Hadoop, Python, Tableau etc)

- Relational SQL and NoSQL Databases

- Data Pipeline and Workflow Management Tools

- Cloud Services

- Stream-Processing Systems

- Object-Oriented/Object Function Scripting Languages""

7-11 years of exprience

Benefits:

We offer highly competitive salaries, bonus programs, world-class benefits, and unparalleled growth and development opportunities — all to create a compelling and rewarding work environment.

Apply now!

Dell is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Dell are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Dell will not tolerate discrimination or harassment based on any of these characteristics. Dell encourages applicants of all ages. Learn more about Diversity and Inclusion at Dell here.",4.1,"Dell Technologies
4.1",Bengaluru,"Round Rock, TX",10000+ employees,1984,Company - Public,IT Services,Information Technology,₹500+ billion (INR),"IBM, Apple, HP Inc."
6,Data Scientist,"Overview


We have an exciting opportunity for a Data Scientist to join our dynamic AI Development team. This permanent position is well suited to an individual that is looking to advance their career in Python / R / Java Programming and gain hands-on experience in a thriving and supportive workplace.

Responsibilities


Objectives: 
Primary focus on applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products.
Ability to manage time and follow guidelines and processes.
Procedures: 
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
 Selecting features, building and optimizing classifiers using machine learning techniques
 Once the data source has been identified, mine and analyse data to drive optimization and improvement of product development, marketing techniques and business strategies.
 Enhancing data collection procedures to include information that is relevant for building analytic systems
 Design and review data collection procedures for regulatory compliance.
 Develop custom data models and algorithms to apply to data sets.
 Present information using data visualization techniques
 Propose solutions and strategies to business challenges
 Collaborate with SAS programming and Statistics teams
 Develop company A/B testing framework and test model quality.
 Develop processes and tools to monitor and analyse model performance and data accuracy.
 Raise awareness with other team on Data Science techniques and approaches.
 Have a good understanding of ICH/GCP guidelines.
 Follow appropriate Project Management procedures.
 Communicate effectively with project team.
Key Contacts/Relationships (Internal & External):

Internal:Work closely with other project team members, mentor and line manager.

External:Under supervision, may have limited interaction with internal clients to complete various programming activities. To fulfil this role, the Data Scientist supported by AI team members, may be required to participate in project team meetings and be responsive on an ad-hoc basis.

Qualifications
Qualified to degree level or equivalent, preferably in a numerate discipline
Good knowledge on statistics.
5 years of experience on Programming / Data Science Industry and minimum 2 year as Data Scientist",4.0,"Quanticate
4.0",Bengaluru,"Hitchin, United Kingdom",201 to 500 employees,1995,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,₹1 to ₹5 billion (INR),"GCE Solutions, Parexel, IQVIA"
7,Data Scientist-1,"Required Technical Skills
Good understanding of machine learning (both analytics and engineering).
Hadoop and big data technologies skills, streaming technology.
Robotics Process Automation techniques.
Artificial Intelligence.
Analytical mindset.
Good in Data Structure.
Good in Problem solving.
Preferred Technical Skills
Deep understanding of statistics and ML algorithms work internally with proficiency in at least 2 supervised and unsupervised algorithms in each bucket.
Supervised algorithms : Regression [linear/polynomial], Decision Tree, Random Forest or classification [Logistic Regression, Naïve Bayes, SVM etc]
- Model design and implementation : Experience in deriving feature sets, model training and testing

- Preferred tools and programming languages: TensorFlow/Keras, Python

- Exposure to Deep Learning and NLP is an added advantage.

Required Soft Skills
A team player who values collaboration, innovation, and inclusion.
Interested in keeping update with the latest technological developments.
Comfortable working in an Agile environment.
Strong verbal and written communication skills.
Interest in the payments industry.",3.6,"PayPal
3.6",Bengaluru,"San Jose, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Square, Amazon, Apple"
8,Data Scientist,"Driving Infinite Possibilities Within A Diversified, Global Organization


Data Scientist

Were looking for a new
team member who is motivated by cracking tough challenges with data, trained in
problem solving, and with an unending thirst for learning.
As a Data Scientist, you
will join a high-performing, global team, and assist with designing,
developing, and deploying data driven solutions for all Honeywell business
groups and functions. You will work closely with application architects to
integrate results into operational platforms, including Hadoop and NoSQL
architectures.
Additionally, the Data
Scientist role is expected to work within Honeywell to identify opportunities
for new growth and efficiencies based on data analyses both in adjacencies
based on previous engagements, as well as larger industry developments.
Specific Responsibilities
Develop data analytics, data modeling, mining,
pattern analysis, data visualization and machine learning solutions to address
customer needs
Foster relationships with business
team members by being proactive, displaying a thorough understanding of the
business processes and by recommending innovative solutions
Communicate project output in terms of
customer value, business objectives, and product opportunity
Promote data
science methods and processes across functions
Work with our businesses and
infrastructure teams to develop a strategy that will clearly outline how our
enterprise platforms can enable business growth & productivity and discover
efficiencies to drive costs out of the ISC.

CORPIT2020

You must have:

· Bachelors degree in Computer Science, Engineering, Applied Mathematics or related field

· Minimum of 4 years of experience with distributed storage and compute tools (e.g. Hive and Spark)
6-8 years of experience within Analytics
Experience with data visualization, Tableau preferred.
Understanding of machine learning techniques and algorithms, such as k-NN, Logistic/Linear Regression, Naive Bayes, SVM, Decision Forests, etc.
Knowledge of cloud platforms AWS, Google Cloud, Azure, SnowFlake
Strong knowledge of SQL, Python/R, query optimization and DBMS concepts
Advanced knowledge of excel
Strong analytical skills with an inherent ability to find, understand and work with large amounts of data.
We value:

· Experience bringing prototypes to production on Hadoop platforms and/or as containerized services
Experience with SAP HANA, Snowflake, Redshift and Tableau
· Experience with Streaming Analytics (i.e. Spark Streaming)

· Experience with Natural Language Processing

· Experience working with global teams

· Results driven with a positive can-do attitude.

· Thrives in a rapidly changing environment.

Additional Information
JOB ID: HRD94048
Category: Information Technology
Location: Devarabisanahalli Village, KR Varturhobli,,East Taluk - Phase I,Bangalore,KARNATAKA,560103,India
Exempt
Business Services",3.8,"Honeywell
3.8",Bengaluru,"Charlotte, NC",10000+ employees,1885,Company - Public,Computer Hardware & Software,Information Technology,₹500+ billion (INR),"GE, Johnson Controls, United Technologies"
9,Data Scientist,"Amazon strives to be Earth's most customer-centric company where people can find and discover anything they want to buy online. We hire the world's brightest minds, offering them a fast paced, technologically sophisticated, and friendly work environment.

The FinAuto Data Engineering and Analytics team, part of Finance Automation Org focuses on the application of machine learning methods designed to enable Amazon to increase free cash flow by optimizing spend, expense, payroll defects. All of this work is performed in close coordination with senior business leaders. These are exciting fast-paced businesses in which we get to work on extremely interesting analytical problems, in an environment where you get to learn from other data engineers and apply econometric, statistics, and machine learning at massive scale.
As a member of the FinAuto Data Engineering and Analytics team, you will partner closely with a team of stake holders, payment teams, data engineers and software engineers.
In this role you will:
· Work with data engineers to design and implement machine learning applications and solutions.
· Implement and maintain a high-volume, highly available, hybrid (SQL + No SQL) data processing solutions that consists of structured and semi-structured data.
· Design and implement a very large distributed data warehousing and reporting solution and integrate it with business intelligence tools



Basic Qualifications

· 5+ years of experience in software development of large-scale data infrastructure and distributed systems
· 5+ years of experience in data extraction, transformation, statistical analysis and data modeling
· 5+ years of experience developing enterprise software using Java or Python
· 3+ years of experience in applying Data Mining and Machine Learning techniques to solve business problems
· 3+ years of experience using major RDBMS, Hadoop, Spark, Elasticsearch, or similar technologies
· 3+ years of experience with statistical modeling tools such as R, SAS, SciKit-learn, or TensorFlow
· Bachelors degree in Computer Science, Computer Engineering, Machine Learning, or related field or equivalent experience.

Preferred Qualifications

· Masters degree in Computer Science, Computer Engineering, Machine Learning, or related field; PhD a plus
· Deep expertise in Statistics, Machine Learning or related disciplines
· Advanced knowledge in performance, scalability, numerical accuracy, enterprise system architecture, best practices.
· Experience building solutions using AWS big data and machine learning services
· Ability to communicate complex technical concepts and solutions to all levels of the organization",4.2,"Amazon
4.2",Hyderabad,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Google, Microsoft, Walmart"
