,Job Title,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Junior Data Analyst,"Role: Junior Data Analyst

Location: Gurgaon, India

GroundTruth is the leading global location platform that leverages data and insights to drive business performance. Using its proprietary Blueprints technology, GroundTruth is able to learn about mobile users and reach them at the right place and right time, ultimately helping companies make smarter marketing decisions, increase sales, and grow their businesses. Since its foundation in 2009, GroundTruth has launched several innovative products and won numerous awards, including Inc. 5000s Fast Growing Private Companies and Deloitte's Fast 500 Technology companies. Today, we're proud to employ over 400 employees across three continents and serve millions of marketers across 21 countries. Learn more: www.groundtruth.com

This will be an exciting and challenging role that will enable you to work with very large data sets, expose you to cutting edge analysis techniques, work with the latest components in cloud architecture and gain experience in the usage of location data to drive businesses. As an early member you will have significant opportunities for growth within the organization. A successful applicant will be passionate about technology and developing a deep understanding of human behavior in the real world. They would also have excellent communication skills, be able to synthesize and present complex information and be a fast learner.

You will:

• Learn about location-driven marketing and how companies are using location signals to drive their business

• Work closely with marketing, growth strategy and sales teams based out of our offices in USA, UK, Germany

• Develop re-usable tools and templates to quickly create data driven narratives

• Gather requirements, design analyses, identify data sources and define measurement metrics to present insights and recommendations for ready consumption

• Be responsible for managing your work pipeline and creating re-usable analysis and documentation

You have:

• BA/BSc/B.E./BTech degree in Computer Science, Statistics, Mathematics, Economics, Physics or related fields

• 1-2 years of experience in working with data and conducting statistical and/or numerical analysis

• Strong understanding of how data can be stored and accessed in different structures

• Experience with writing computer programs to solve problems

• Strong understanding of data operations such as sub-setting, sorting, merging, aggregating and CRUD operations

• Ability to write SQL code and familiarity with R/Python, Linux shell commands

• Be willing and able to quickly learn about new businesses, database technologies and analysis techniques

• Ability to tell a good story and support it with numbers and visuals

• Strong oral and written communication

•

How you can impress us:

• Experience working with large datasets

• Experience with AWS analytics infrastructure (Redshift, S3, Athena, Boto3)

• Experience building analytics applications leveraging R, Python, Tableau, Looker or other • Experience in geo-spatial analysis with POSTGIS, QGIS

We operate in a fast paced, dynamic environment where everyone on the team is committed to the success and growth of GroundTruth. Our culture is highly entrepreneurial and our success comes from our employees who voice their opinions and ideas to facilitate growth to our bottom line. We reward hard work, support career development, offer comprehensive benefits, and foster a fun and friendly work environment.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status",3.3,"GroundTruth
3.3",Gurgaon,"New York, NY",201 to 500 employees,2009,Company - Private,-1,-1,Unknown / Non-Applicable,-1
1,Data Analyst,"Through the Amazon Marketplace, Amazon provides individuals or enterprises the opportunity to sell their goods on the Amazon platform. Worldwide, more than a million sellers use this Marketplace and thereby contribute to the success of Amazon. Amazon is growing its Marketplace aggressively worldwide. In this context, Amazon India Seller Services is setting up a new service to help with driving selection improvement on Amazon.

In order to drive improvement in the Amazon selection, this program will contribute in identification and on-boarding of new selection and drive efficiency of the existing selection.

About the Role: We are looking for a hands-on, detail oriented and highly motivated data analyst to help create data backed insights that will drive selection improvement . The candidate should be comfortable interfacing with technology systems and be able to analyze data and gather actionable conclusions. Operating in a rapidly changing environment will require the candidate to be adept at dealing with ambiguous, new and challenging situations. The candidate will be comfortable in executing repeatable processes.



Basic Qualifications

· Bachelor's degree in Computer Science, Engineering, Operations Research, Math, or related discipline.
· Minimum 2+ years of experience as an Analyst role preferred.
· Highly proficient in Microsoft Office and Windows based applications.
· SQL Knowledge and Hands-on experience is a must.
· Demonstrated Analytical ability, results-oriented environment with external customer interaction.
· Excellent written and verbal communication and presentation skills and the ability to express thoughts logically and succinctly.
· Entrepreneurial drive and demonstrated ability to achieve stretch goals in an innovative and fast-paced environment.

Preferred Qualifications


· Experience with E-Commerce, Retail and Business Analytics would be an advantage.
· Understanding of data warehousing, data modeling concept and building new DW tables
· Advanced SQL skills, fluent in R and/or Python, advanced Microsoft Office skills, particularly Excel and analytical platforms",4.2,"Amazon
4.2",Bengaluru,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Google, Microsoft, Walmart"
2,Data Analyst / SME,"Join a team recognized for leadership, innovation and diversity


As a Procurement Project Management Specialist, you will have a strong understanding of project management activities, including the end to end project management process in a fast paced, complex business environment. You will work within a team of collaborative colleagues, working on high-impact projects that move the business forward. You will help your team meet deadlines, track, monitor and summarize progress of projects, and prepare reports for senior leadership regarding the status and project of the project.

Key Responsibilities
Oversees and coordinates the operational and strategy creation aspects of sourcing projects
Partners with Category and Commodity leaders to create strategy and drive projects to completion
Reviews status of projects and budgets; manages schedules and prepares status reports
Assesses project issues and develops resolutions to meet productivity, quality, and customers satisfaction goals and objectives
Develops mechanisms for monitoring project progress and for intervention and problem solving with project managers, line managers, and customers
YOU MUST HAVE
Undergraduate degree and some experience in Supply Management / Sourcing / Procurement and leading projects
WE VALUE
Strong analytical and innovative mindset to handle multiple projects and meet deadlines
Excellent written and oral communication skills
Able to articulate points of view with senior leaders, but execute plans when directed
Demonstrate actionable results by delivering against targets for financial performance business impact
Strong project management skills including the ability to manage priorities and workflow
Demonstrated ability to think strategically but detailed oriented to support ideology with facts
Additional Information
JOB ID: HRD95375
Category: Procurement
Location: HW Camp II,Bldgs 9A&9B,Plot C2,RMZ Ecoworld,Varturhobli,Sarjapur Marathahalli Outer Ring Road,Bangalore,KARNATAKA,560103,India
Exempt
Early Career (ALL)",3.8,"Honeywell
3.8",Bengaluru,"Charlotte, NC",10000+ employees,1885,Company - Public,Computer Hardware & Software,Information Technology,₹500+ billion (INR),"GE, Johnson Controls, United Technologies"
3,Data Analyst,"Parity Computing, a unit of RELX/Elsevier, is inviting applications for data analyst positions for its OrgDB product to curate organization metadata and name variants to help produce excellent organization publication profiles. The work involves investigating research organizations and their structure to extract and normalize data, interpreting the metadata policies, deciding the best approach to curate the data, and analyzing the impact of curation on organization publication profiles. We are looking for individuals who can conduct excellent research, work independently, and pay attention to detail. Premium is placed on those individuals who can produce a high-quality content.

Parity’s OrgDB product is the leading authoritative database of the world’s research producing organizations. OrgDB powers STM industry applications for characterizing organizations and accurately attributing their research works.

Required skills

Able to think analytically, use a systematic and logical approach to analyze data, problems and situations.,

Familiarity with scientific research, publications, universities and research organizations,

Ability to perform independent research on topics related to the structure of and relationships among universities and research organizations,

Ability to think abstractly and collect and classify entities such as person and organization names, organizational structure, scientific expertise, and related entities,

Ability to interpret policies, follow them consistently, develop positive and negative examples for each policy, and assist in fine tuning policies

Ability to assess the quality, completeness, and other characteristics of the content

Preferred qualifications

Post Graduation

· Outstanding oral and written communication skills

· Skills in working with databases, software tools, and modeling languages such as XML.

· Demonstrated ability to meet deadlines

· Excellent planning, organizational, and time management skills.

· Ability to work under pressure and meet deadlines

Elsevier is an equal opportunity employer: qualified applicants are considered for and treated during employment without regard to race, color, creed, religion, sex, national origin, citizenship status, disability status, protected veteran status, age, marital status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law. If a qualified individual with a disability or disabled veteran needs a reasonable accommodation to use or access our online system, that individual should please contact 1.877.734.1938 or accommodations@relx.com.

Elsevier is a global information analytics business that helps institutions and professionals progress science, advance healthcare and improve performance for the benefit of humanity. We help researchers make new discoveries, collaborate with their colleagues, and give them the knowledge they need to find funding. We help governments and universities evaluate and improve their research strategies. We help doctors save lives, providing insight for physicians to find the right clinical answers, and we support nurses and other healthcare professionals throughout their careers.Elsevier provides digital solutions and tools in the areas of strategic research management, R&D performance, clinical decision support, and professional education; including ScienceDirect, Scopus, SciVal, ClinicalKey and Sherpath. Elsevier publishes over 2,500 digitized journals, including The Lancetand Cell, more than 35,000 e-book titles and many iconic reference works, including Gray?s Anatomy. Elsevier is part of RELX Group, a global provider of information and analytics for professionals and business customers across industries. Elsevier employs over 7,000 people in more than 70 offices worldwide. We are an employer of choice, attracting and developing talented and creative people who thrive in a challenging and fast-paced environment. We offer an excellent compensation and benefits package as well as a real opportunity for career growth in a growing organization.",4.4,"Elsevier
4.4",Bengaluru,"Amsterdam, Netherlands",5001 to 10000 employees,1880,Subsidiary or Business Segment,Publishing,Media,₹100 to ₹500 billion (INR),"Clarivate Analytics, Springer Nature, Thomson Reuters"
4,Data Analyst,"About Swiss Re

Swiss Re is one of the world’s leading providers of reinsurance, insurance and other forms of insurance-based risk transfer, working to make the world more resilient. We anticipate and manage a wide variety of risks, from natural catastrophes and climate change to cybercrime.

At Swiss Re we combine experience with creative thinking and cutting-edge expertise to create new opportunities and solutions for our clients. This is possible thanks to the collaboration of our 15,000 employees across the world.

We offer a flexible working environment where curious and adaptable people thrive. Are you interested in joining us?

About the role:
Provide data analysis, transformation and technical support needed by L&H Products Americas Actuarial team to support L&H pricing initiatives, analysis of reinsured lives business, new product development initiatives.
Support and develop processes to deliver quantitative studies of internal mortality and lapse data.
Provide high quality and timely technical support to the L&H Products Americas staff.
Coordinate workflow between data analysts and actuarial teams.
Follow established guidelines and best practices for internal and external data management processes, which includes appropriate documentation in support of business controls.
Create, maintain, and enhance guidelines and best practices when necessary.
Streamline current processes for efficiency when appropriate.

About the team:

US Experience Studies team is responsible for assisting in the development of client specific pricing assumptions & maintaining data set and study quality for all other purposes. The team is located in two main offices: Fort Wayne (US) and Bangalore (India).

About you:
2-3 years of experience related to technical processes necessary to support L&H Product's needs.
Experience with Microsoft Access, Microsoft Excel, SQL and client database tools, or others such as R, Python, SAS and Oracle.
1-2 yrs. of experience in insurance related fields, knowledge of insurance products & their administration is desired.
Cross cultural experience working with colleagues globally; experienced in managing data works handover processes between teams in different geographical locations.
Demonstrates strong oral and written English communication skills, along with strong interpersonal skills.
Shows initiative in identifying data related issues and supporting other team members, peers and senior stakeholders.
Strong creative problem solving and analytical skills.
Strong documentation skills.
Ability to work independently, accurately and deliver to deadlines.
Swiss Re",3.8,"Swiss Re
3.8",Bengaluru,"Zurich, Switzerland",10000+ employees,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,₹500+ billion (INR),"Munich Re, Hannover RE, SCOR"
5,Data Analyst,"The position is full-time and would be based at the company’s Chennai office. The successful applicant would have 1 - 2 years' relevant experience and be responsible for collection, validation & analysis of Mutual fund data.

Key Areas of Responsibility
Collection, validation, analysis of mutual fund information.
Updating the mutual fund information into our databases in a timely manner.
Perform quality checks.
Communicate with UK and Offshore asset management companies via email/telephone.
Provide clarifications to clients’ queries based on priority and urgency levels.
Extract and provide various project-related reports as required by the manager.
Key Skills

Key Technical Skills
Possess basic knowledge of Mutual funds and/or of the financial sector.
Proficient in MS Office (including MS Outlook)
Key Behavioural Skills
Very good written and spoken English communication skills.
Good Analytical and Problem solving skills.
Ability to work independently and come up with ideas to enhance the process.
Ability to achieve the defined SLA standards with regard to Turn Around Time, Work accuracy etc. and maintain them throughout one’s tenure in the department.
Ability to quickly learn new concepts relating to Mutual funds and be able to apply them in the work.
How to Apply

To apply for this job, click here

If you have any questions regarding this job, please feel free to email india.jobs@financialexpress.net",4.1,"FE UK
4.1",Chennai,"Woking, United Kingdom",501 to 1000 employees,1996,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable,-1
6,Data Analyst,"Job Title: Data Analyst
Location: Chennai

This role will be responsible for the data analysis, requirement capture, stakeholder management and IMCC mailing.
What will you be doing?
Support / manage the design and development of process solutions to meet the agreed business requirements including management information requirements and mitigation of risks (via appropriate controls / reconciliations) within the technology / process solutions
Proficiency and Experience in Teradata/SQL is mandatory
HADOOP Experience preferably in Hive, Impala and Spark is required.
Support Customer Targeting manager to deliver data discovery and participate in data walkthroughs
Contribute to create Risk Assessments on activity to support in the mitigation of known risks.
Create / Develop Data Dictionaries working with campaign delivery managers to support testing and build of letter though OTX (include testing scenarios & validation)
Help define improvements for the bank in terms of Products & Customer / Colleague experience
Ability to work across different lines of business in Barclays and interact with a spectrum of people
Ability to map business requirements to tools / technology stacks
Provision of business analysis skills
Production and review of functional and non-functional specifications
Providing data analysis to support the delivery of the strategy, propositions & plans in order to maximise the functions knowledge & intelligence.

What were looking for:
Strong Knowledge in Data warehousing.
Strong Knowledge and Hands on Experience in Teradata.
Unix expertise
Meticulous attention to detail

Skills that will help you in the role:
Knowledge and Hands on Experience in HADOOP - HDFS File System
Knowledge and Hands on experience in tools like Ab Initio, SAS

Where will you be working?
Chennai

Be More at Barclays
At Barclays, each day is about being more as a professional, and as a person. Be More @ Barclays represents our core promise to all current and future employees. Its the characteristic that we want to be associated with as an employer, and at the heart of every employee experience. We empower our colleagues to Be More Globally Connected, working on international projects that improve the way millions of customers handle their finances. Be More Inspired by working alongside the most talented people in the industry, and delivering imaginative new solutions that are redefining the future of finance. Be More Impactful by having the opportunity to work on cutting-edge projects, and Be More Valued for who you are.
Interested and want to know more about Barclays? Visit home.barclays/who-we-are/ for more details.

Our Values
Everything we do is shaped by the five values of Respect, Integrity, Service, Excellence and Stewardship. Our values inform the foundations of our relationships with customers and clients, but they also shape how we measure and reward the performance of our colleagues. Simply put, success is not just about what you achieve, but about how you achieve it.
Our Diversity
We aim to foster a culture where individuals of all backgrounds feel confident in bringing their whole selves to work, feel included and their talents are nurtured, empowering them to contribute fully to our vision and goals.
Our Benefits
Our customers are unique. The same goes for our colleagues. That's why at Barclays we offer a range of benefits, allowing every colleague to choose the best options for their personal circumstances. These include a competitive salary and pension, health care and all the tools, technology and support to help you become the very best you can be. We are proud of our dynamic working options for colleagues. If you have a need for flexibility, then please discuss this with us.",3.9,"Barclays
3.9",Chennai,"London, United Kingdom",10000+ employees,1690,Company - Public,Banks & Building Societies,Finance,₹500+ billion (INR),"Deutsche Bank, HSBC Holdings, Royal Bank of Scotland"
7,Data Analyst,"Join a team recognized for leadership, innovation and diversity
JOB DETAILS:
Position: Data Analyst - IDQ
Experience: 3+ years

Job Description

Gather requirements from the Data Modelers and understand the design from the technical analysis provided.
Perform data profiling to understand data domains, validation rules and data dependencies
Develop Data Quality Mappings and Workflows, Preparation of Unit Test Case and Unit Test Data and data validation.
Develop Mapplets Using IDQ Tools and generate Profiling Reports for concerned Data.
Work with Informatica Data Quality 10.X (IDQ) toolkit, Analysis, data cleansing, data matching, data conversion, exception handling, and reporting and monitoring capabilities.
Develop IDQ mappings using various transformation like Standardization, Case Converter, Match and Address Validation Transformation.
Import mapplets and mappings from Informatica developer (IDQ) to Power Center.
Create generic rules in Informatica developer as per the business.
Design complex UNIX scripts and automate it to run the workflows daily, weekly and Monthly.
Schedule jobs and automate the workload using Autosys Job Scheduler, Control-M Job Scheduler or Informatica Scheduler (Any One)
Build reusable components for a scalable ETL
methodology such as error handling, logging and recoverability

Must Have

· Strong knowledge of master data management, match/merge, golden record concepts.

· Experience in creating ETL jobs with delta detection, SCD implementations, bulk loads, real-time integration.

· Good hands on experience on Informatica Data Quality tools and Informatic Power center tools

· Working experience in Partitions, Materialized views, Collections, Packages, Stored Procedure, Functions, DBMS packages, triggers etc.

· Implementing error and exception handling, auditing, data purging and restoration in ETL jobs.

· Strong SQL and PLSQL experience with working knowledge on databases such as Oracle, SQL Server, DB2, etc.

· Experience with trouble-shooting Informatica session failures and the ability to performance tuning of mappings.

We Value

· Knowledge on address doctor validation, Dun & Bradstreet enrichment

· Knowledge in Data Governance and Collibra will be a huge plus

· Good communication and interpersonal skills.

· Experience in Informatica MDM

""CORPIT2020""

Additional Information
JOB ID: HRD94071
Category: Information Technology
Location: Devarabisanahalli Village, KR Varturhobli,,East Taluk - Phase I,Bangalore,KARNATAKA,560103,India
Exempt
Business Services",3.8,"Honeywell
3.8",Bengaluru,"Charlotte, NC",10000+ employees,1885,Company - Public,Computer Hardware & Software,Information Technology,₹500+ billion (INR),"GE, Johnson Controls, United Technologies"
8,Consultant – Data Analyst with Python,"Consultant – Data Analyst with Python
Function: Operations

Noida, India

With
a startup spirit and 90,000 curious and courageous minds, we have the
expertise to go deep with the world’s biggest brands—and we have fun doing it.
Now, we’re calling all you rule-breakers and risk-takers who see the world
differently, and are bold enough to reinvent it. Come, transform with us.

Are
you the one whom we are seeking ?

Inviting
applications for the role of Consultant – Data Analyst with Python

In
this role, the focus is to ensure smooth delivery, client engagement and
spearhead business growth of a large account in U.S. It is imperative for this
hire to have deep Banking & Capital Markets experience, in-depth
understanding of technology and domain skills in Auto Finance, Equipment
Finance and Lending.

Responsibilities
Assisting users with Python setup and
configuration, getting access to data sources within the organization, and
responding to their questions
Performing analysis projects on behalf
of the users
Understand data requirements of the
requestor
Interact with the requestor to handle
any changes and updates to the request.
Do required analysis of the data set
as required.
Work with the team on data projects to
provide timely solutions.
Create and Visualize reports/analysis
and share it with the stakeholders.
Qualifications


Minimum
qualifications we seek in you!
BE/B.Tech/equivalent
Preferred
qualifications
Good Python development skill is a
must.
Working knowledge of R is an added
advantage.
Working knowledge of Tableau &
Spotfire is an added advantage.
Good communication skills & highly
proactive in approach.
Ability to manage & prioritize
deliverables.
Ability to be learn and apply new
processes and tools
Process orientated awareness of Lean
Six Sigma.
Genpact
is an Equal Opportunity Employer and considers applicants for all positions
without regard to race, color, religion or belief, sex, age, national origin,
citizenship status, marital status, military/veteran status, genetic
information, sexual orientation, gender identity, physical or mental disability
or any other characteristic protected by applicable laws. Genpact is committed to
creating a dynamic work environment that values diversity and inclusion,
respect and integrity, customer focus, and innovation. For more information,
visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube.",3.6,"Genpact
3.6",Noida,"New York, NY",10000+ employees,1997,Company - Public,IT Services,Information Technology,₹100 to ₹500 billion (INR),"Accenture, IBM, Capgemini"
9,Data Analyst,"Data Analyst

Corporate Solutions

What this job involves

Delivery of Client Satisfaction

Establish the vision and strategy of the account plan ensuring there is alignment with the client objectives and interests

Directing all transportation activities and developing client relationships

Should be responsible for personnel, monitoring their progress and being their first point of contact should a problem arise making communication skills vital. These communication skills are also vital in the development of customer relationships, managing questions and complaints calmly and decisively

Drive the account plan to deliver high quality results, which exceed the client’s expectations

Become a reference for best in class service delivery that can be leveraged to expand Jones Lang LaSalle’s business

Recognizes opportunities for account growth then articulate the value proposition and ensures its implementation across the platform

Must also be involved in strategic development and the maintaining of any administrative records, regularly communicating with the delivery manager to ensure smooth operation

Must also be aware of all transport legislation and procedures to ensure company compliance

Directs the client team, and leverages experts within the broader organization, to ensure exceptional results are delivered to the client, exceeding key performance indicators

Proactively solicits and responds to feedback and input from client

Establishes and maintains effective relationships with customers and gains their trust and respect

Confronting climate change issues by implementing transport strategies and monitoring an organisation’s carbon footprint

Is responsible for organising and overseeing all health and safety checks and routine vehicle checks and adhering to both company and statutory requirements

Dealing with the effects of congestion

Builds and Manages High Performing Teams

Ensures the best qualified candidate is hired for all roles on the account

Thoroughly and critically assesses direct reports (and directs directs)

For every direct report, build actionable and measurable career development plans; direct report in consistent conversations regarding progress

Advances the firm’s diversity and inclusion priorities by focusing on talent moves, i.e. hiring, rotation and promotion

Provides point in time coaching to elevate performance

Achieve Financial Result

Manages account financials to ensure plan is met or exceeded in both growth and profitability

Retain all current business lines and expand the book of business with the client to extend beyond existing product lines or geography

Mitigates risk for the organization by ensuring A/R is maintained below 60 days payable

Putting best practices in place

Do you like sharing ideas to improve the work process? As our Data Analyst you’ll contribute to the creation of facilities service delivery standards. You’ll also help in the planning, implementation and review of site-specific processes and protocols.

Teamwork should also be one of your strongest points, as you’ll work with a team to ensure that all performance targets set out in the contract are being met. To do this, you’ll develop tools that help measure the technical team’s performance on a quarterly or annual basis.

Sound like you? To apply, you need to be:

A technical hands on expert

An ideal candidate would have a university degree or professional qualification in engineering or facilities management, and over four years’ experience in facilities operation. A strong background in troubleshooting processes is a big plus.

Good communicator

Do you have an excellent command of spoken and written English language? Can you communicate technical issues to less able colleagues, clients and vendors? If you said yes to these, bring your ambition and explore our world of possibility.

What we can do for you:

At JLL, we make sure that you become the best version of yourself by helping you realise your full potential in an entrepreneurial and inclusive work environment. We will empower your ambitions through our dedicated Total Rewards Program, competitive pay and benefits package.

Apply today!

JLL Privacy Notice

Jones Lang LaSalle (JLL), together with its subsidiaries and affiliates, is a leading global provider of real estate and investment management services. We take our responsibility to protect the personal information provided to us seriously. Generally the personal information we collect from you are for the purposes of processing in connection with JLL’s recruitment process. We endeavour to keep your personal information secure with appropriate level of security and keep for as long as we need it for legitimate business or legal reasons. We will then delete it safely and securely.

For more information about how JLL processes your personal data, please view our Candidate Privacy Statement.

For additional details please see our career site pages for each country.

For employees in the United States, please see a fully copy of our Equal Employment Opportunity and Affirmative Action policy here.

Jones Lang LaSalle (“JLL”) is an Equal Opportunity Employer and is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process – including the online application and/or overall selection process – you may email us at Accommodation.Reques@am.jll.com. This email is only to request an accommodation. Please direct any other general recruiting inquiries to our Contact Us page > I want to work for JLL.",4.0,"JLL
4.0",Bengaluru,"Chicago, IL",10000+ employees,-1,Company - Public,Real Estate,Real Estate,₹500+ billion (INR),"CBRE, Cushman & Wakefield"
