,Company Name,Job Title,Salary
0,"GroundTruth
3.3",Software Engineer,₹752K - ₹828K
1,"GroundTruth
3.3",Software Developer,₹423K - ₹462K
2,"GroundTruth
3.3",Manager,₹622K - ₹671K
3,"GroundTruth
3.3",Accounting Assistant,₹28K - ₹30K
4,"GroundTruth
3.3",Billing Specialist,₹23K - ₹25K
5,"phData
3.0",Devops Engineer,"₹395K - ₹2,069K"
6,"phData
3.0",Solutions Architect,"₹950K - ₹3,086K"
7,"phData
3.0",Software Engineer,₹695K - ₹741K
8,"phData
3.0",Data Engineer,₹583K - ₹639K
9,"phData
3.0",Data Engineer,₹57K - ₹62K
10,"TransUnion
4.0",Assistant Vice President,"₹ 27,09,710"
11,"TransUnion
4.0",Consultant,"₹1,916K - ₹2,782K"
12,"TransUnion
4.0",Data Analyst,₹14K - ₹31K
13,"TransUnion
4.0",Associate Engineer,₹876K - ₹983K
14,"TransUnion
4.0",Assistant Manager,"₹1,429K - ₹1,534K"
15,"Buckman
3.5",Intern,₹27K - ₹29K
16,"Buckman
3.5",IOT Engineer,₹773K - ₹832K
17,"Accenture
3.9",Software Engineer,"₹ 5,29,924"
18,"Accenture
3.9",Associate Software Engineer,"₹ 3,85,470"
19,"Accenture
3.9",Senior Software Engineer,"₹ 8,20,345"
20,"Accenture
3.9",Team Lead,"₹ 12,00,000"
21,"Accenture
3.9",Associate Manager,"₹ 18,48,774"
22,"Dell Technologies
4.1","Senior Advisor, Data Intelligence Engineer","₹2,044K - ₹2,213K"
23,"Dell Technologies
4.1",Software Engineer,"₹ 8,05,727"
24,"Dell Technologies
4.1",Senior Software Engineer,"₹ 15,71,358"
25,"Dell Technologies
4.1",Senior Analyst,"₹ 9,93,214"
26,"Dell Technologies
4.1",Principal Software Engineer,"₹ 23,46,589"
27,"Quanticate
4.0",Former Employee,₹291K - ₹313K
28,"Quanticate
4.0",Clinical Data Coordinator,₹408K - ₹448K
29,"Quanticate
4.0",Senior SAS Programmer,₹744K - ₹808K
30,"Quanticate
4.0",General Counsel/Associate Director,₹119K - ₹130K
31,"Quanticate
4.0",CDM Programmer,₹860K - ₹936K
32,"PayPal
3.6",Software Engineer,"₹ 12,37,149"
33,"PayPal
3.6",Software Engineer III,"₹ 21,51,802"
34,"PayPal
3.6",Software Engineer II,"₹ 16,13,973"
35,"PayPal
3.6",Senior Software Engineer,"₹ 18,00,000"
