,Company Name,Job Title,Salary
0,"ICMR- National Institute for Research in Tuberculosis
3.4",Consultant,₹55K - ₹59K
1,"ICMR- National Institute for Research in Tuberculosis
3.4",Research Assistant,₹24K - ₹26K
2,"ICMR- National Institute for Research in Tuberculosis
3.4",Senior Research Fellow,₹26K - ₹28K
3,"NetApp
4.1",Programmer Analyst,"₹ 10,72,967"
4,"NetApp
4.1",Member Of Technical Staff II,"₹ 12,78,386"
5,"NetApp
4.1",MTS3,"₹ 19,75,830"
6,"NetApp
4.1",Member Of Technical Staff III,"₹ 18,93,718"
7,"NetApp
4.1",MTS2,"₹ 12,80,775"
8,"Scienaptic Systems
3.5",Data Scientist,"₹ 13,75,235"
9,"Scienaptic Systems
3.5",Software Engineer,"₹ 19,75,830"
10,"Scienaptic Systems
3.5",Devops Engineer,₹847K - ₹933K
11,"Scienaptic Systems
3.5",Company Secretary,₹770K - ₹827K
12,"Amazon
4.2",Software Development Engineer,"₹ 14,77,690"
13,"Amazon
4.2",Software Development Engineer I,"₹ 15,51,897"
14,"Amazon
4.2",Software Development Engineer,"₹ 43,061/mo"
15,"Amazon
4.2",SDE1,"₹ 13,98,718"
16,"Amazon
4.2",Customer Service Associate,"₹ 2,43,027"
17,"Anaxee Digital Runners Pvt Ltd
4.0",-1,-1
18,"Amazon
4.2",Software Development Engineer,"₹ 14,77,690"
19,"Amazon
4.2",Software Development Engineer I,"₹ 15,51,897"
20,"Amazon
4.2",Software Development Engineer,"₹ 43,061/mo"
21,"Amazon
4.2",SDE1,"₹ 13,98,718"
22,"Amazon
4.2",Customer Service Associate,"₹ 2,43,027"
23,"NetApp
4.1",Member Of Technical Staff II,"₹ 12,78,386"
24,"NetApp
4.1",MTS3,"₹ 19,75,830"
25,"NetApp
4.1",Member Of Technical Staff III,"₹ 18,93,718"
26,"NetApp
4.1",MTS2,"₹ 12,80,775"
27,"NetApp
4.1","Member Technical Staff, Software","₹ 13,03,594"
28,zBliss Technologies,-1,-1
29,"Accenture
3.9",Software Engineer,"₹ 5,29,734"
30,"Accenture
3.9",Associate Software Engineer,"₹ 3,84,916"
31,"Accenture
3.9",Senior Software Engineer,"₹ 8,19,983"
32,"Accenture
3.9",Team Lead,"₹ 12,00,000"
33,"Accenture
3.9",Associate Manager,"₹ 18,48,774"
34,"Vitrana
4.9",Senior Software Engineer,₹862K - ₹941K
35,"Vitrana
4.9",IPC,₹104K - ₹112K
36,"Vitrana
4.9",Senior Software Developer,"₹1,012K - ₹1,106K"
37,"Vitrana
4.9",QA Engineer,₹25K - ₹26K
38,"Vitrana
4.9",Consulting Analyst,"₹1,992K - ₹2,125K"
39,"Amazon
4.2",Program Manager,"₹ 16,70,290"
40,"Amazon
4.2",Program Manager,"₹ 1,16,560/mo"
41,"Amazon
4.2",Senior Program Manager,"₹ 31,51,988"
42,"Amazon
4.2",Program Manager II,"₹ 18,38,148"
43,"Amazon
4.2",Technical Program Manager,"₹ 27,92,948"
44,"Vitrana
4.9",Senior Software Engineer,₹862K - ₹941K
45,"Vitrana
4.9",IPC,₹104K - ₹112K
46,"Vitrana
4.9",Senior Software Developer,"₹1,012K - ₹1,106K"
47,"Vitrana
4.9",QA Engineer,₹25K - ₹26K
48,"Vitrana
4.9",Consulting Analyst,"₹1,992K - ₹2,125K"
49,"Crimson Interactive
3.2",Associate Research Editor,"₹ 25,294/mo"
50,"Crimson Interactive
3.2",Manager,"₹ 1,01,731/mo"
51,"Crimson Interactive
3.2",Project Coordinator,"₹ 3,57,095"
52,"Crimson Interactive
3.2",Editor,"₹ 30,227/mo"
53,"Crimson Interactive
3.2",Software Engineer,₹287K - ₹481K
54,"Philips
3.9",Senior Software Engineer,"₹ 9,99,093"
55,"Philips
3.9",Technical Specialist,"₹ 14,02,079"
56,"Philips
3.9",Software Engineer,"₹ 7,52,105"
57,"Philips
3.9",Senior Technical Specialist,"₹ 19,90,874"
58,"Philips
3.9",Intern,"₹ 23,396/mo"
59,"Dell Technologies
4.1",Software Engineer,"₹ 8,05,727"
60,"Dell Technologies
4.1",Senior Software Engineer,"₹ 15,71,358"
61,"Dell Technologies
4.1",Senior Analyst,"₹ 9,93,214"
62,"Dell Technologies
4.1",Principal Software Engineer,"₹ 23,46,589"
63,"Dell Technologies
4.1",Software Development Analyst,"₹ 5,82,799"
64,"TTEC
3.4",Customer Service Representative,"₹ 24,171/mo"
65,"TTEC
3.4",Fraud Analyst,₹19K - ₹24K
66,"TTEC
3.4",Click To Chat Representative,₹24K - ₹26K
67,"TTEC
3.4",Fraud Prevention Analyst,₹26K - ₹30K
68,"TTEC
3.4",Chat Associate,₹24K - ₹26K
69,Indian Institute of Technology (IIT) Ahmedabad,-1,-1
70,"Bloom Consulting Services
4.8",-1,-1
71,smart4talent,-1,-1
72,"DTCC
3.4",Software Engineer,₹753K - ₹812K
73,"DTCC
3.4",Senior Software Engineer,₹88K - ₹94K
74,"DTCC
3.4",Senior Software Engineer,"₹1,617K - ₹1,725K"
75,"DTCC
3.4",Lead Engineer,"₹2,149K - ₹2,361K"
76,"DTCC
3.4",Java Developer,₹463K - ₹505K
77,"Unacademy
4.2",Educator,"₹ 35,749/mo"
78,"Unacademy
4.2",Associate Product Manager,"₹1,194K - ₹1,308K"
79,"Unacademy
4.2",IPKM,₹10K - ₹272K
80,"Unacademy
4.2",Learner Relationship Manager,₹472K - ₹578K
81,"Unacademy
4.2",Associate Category Lead,₹436K - ₹640K
82,"e-con Systems
3.2",Project Engineer,"₹ 4,99,399"
83,"e-con Systems
3.2",Project Engineer,"₹ 54,613/mo"
84,"e-con Systems
3.2",Hardware Engineer,₹467K - ₹563K
85,"e-con Systems
3.2",Project Engineer- Software,₹41K - ₹56K
86,"e-con Systems
3.2",Software Engineer,₹91K - ₹97K
87,"Live Connections
4.0",Lead Consultant,"₹ 23,368/mo"
88,"Live Connections
4.0",Executive,₹13K - ₹15K
89,"Live Connections
4.0",Sales Manager,₹27K - ₹29K
90,"Live Connections
4.0",Inventory Associate,₹41K - ₹44K
91,"Live Connections
4.0",HR- Consultant,"₹1,143K - ₹1,219K"
92,"Noon Academy
4.1",User Experience Designer,₹857K - ₹944K
93,"Noon Academy
4.1",SDE2,"₹1,467K - ₹1,586K"
94,"Noon Academy
4.1",Construction Business Manager,"₹2,374K - ₹2,533K"
95,"Noon Academy
4.1",Agent Counselor,₹29K - ₹31K
96,"Noon Academy
4.1",Ios,₹29K - ₹31K
97,"Amazon
4.2",Software Development Engineer I,"₹ 15,47,463"
98,"Amazon
4.2",Software Development Engineer I,"₹ 36,962/mo"
99,"Amazon
4.2",Software Development Engineer In Test I,"₹ 14,66,830"
100,"Amazon
4.2",Software Development Engineer I Intern,"₹ 38,627/mo"
101,"Amazon
4.2",Software Development Engineer In Test I,"₹ 1,05,549/mo"
102,Eminence Core Solutions LLP,-1,-1
