,Company Name,Job Title,Salary
0,"GroundTruth
3.3",Software Engineer,₹751K - ₹829K
1,"GroundTruth
3.3",Software Developer,₹426K - ₹461K
2,"GroundTruth
3.3",Manager,₹615K - ₹673K
3,"GroundTruth
3.3",Accounting Assistant,₹28K - ₹30K
4,"GroundTruth
3.3",Billing Specialist,₹23K - ₹25K
5,"Amazon
4.2",Data Analyst,"₹ 5,89,157"
6,"Amazon
4.2",Data Analyst,₹27K - ₹29K
7,"Amazon
4.2",Senior Data Analyst,₹415K - ₹671K
8,"Amazon
4.2",Cs Data Analyst,₹323K - ₹356K
9,"Amazon
4.2",Business Data Analyst,₹475K - ₹514K
10,"Honeywell
3.8",Senior Engineer,"₹ 10,28,686"
11,"Honeywell
3.8",Tech Lead,"₹ 16,14,797"
12,"Honeywell
3.8",Senior Software Engineer,"₹ 10,53,776"
13,"Honeywell
3.8",Engineer,"₹ 6,68,415"
14,"Honeywell
3.8",Software Engineer,"₹ 6,95,749"
15,"Elsevier
4.4",Project Manager,"₹ 7,25,280"
16,"Elsevier
4.4",Senior Software Engineer,"₹730K - ₹1,341K"
17,"Elsevier
4.4",Education Consultant,"₹1,181K - ₹1,599K"
18,"Elsevier
4.4",Manager,₹71K - ₹77K
19,"Elsevier
4.4",IPC,₹731K - ₹777K
20,"Swiss Re
3.8",Senior Data Analyst,₹666K - ₹733K
21,"Swiss Re
3.8",Assistant Vice President,"₹ 22,73,937"
22,"Swiss Re
3.8",Technical Accountant,"₹ 5,77,316"
23,"Swiss Re
3.8",Senior Actuarial Analyst,"₹ 13,25,054"
24,"Swiss Re
3.8",Associate,"₹ 5,28,349"
25,"FE UK
4.1",Data Analyst,"₹ 19,120/mo"
26,"FE UK
4.1",Data Analyst,"₹ 2,68,418"
27,"FE UK
4.1",Senior Data Analyst,₹35K - ₹38K
28,"FE UK
4.1",Systems Engineer,₹13K - ₹20K
29,"FE UK
4.1",Software Engineer,₹616K - ₹664K
30,"Barclays
3.9",Data Analyst,"₹ 8,36,994"
31,"Barclays
3.9",Data Analyst,₹16K - ₹18K
32,"Barclays
3.9",Senior Analyst - Instrument & Price Master Data Management,₹557K - ₹602K
33,"Barclays
3.9",Business Data Analyst,"₹1,278K - ₹1,360K"
34,"Barclays
3.9",Data Quality Analyst,"₹977K - ₹1,076K"
35,"Honeywell
3.8",Data Analyst,"₹ 6,13,705"
36,"Honeywell
3.8",Data Analyst,₹22K - ₹24K
37,"Honeywell
3.8",Senior Data Analyst,"₹1,108K - ₹1,445K"
38,"Honeywell
3.8",Senior Engineer,"₹ 10,28,686"
39,"Honeywell
3.8",Tech Lead,"₹ 16,14,797"
40,"Genpact
3.6",Assistant Manager,"₹ 7,62,305"
41,"Genpact
3.6",Business Analyst,"₹ 6,61,300"
42,"Genpact
3.6",Process Associate,"₹ 2,10,565"
43,"Genpact
3.6",Process Developer,"₹ 3,44,192"
44,"Genpact
3.6",Manager,"₹ 12,24,366"
45,"JLL
4.0",Data Analyst,₹24K - ₹26K
46,"JLL
4.0",Data Analyst,"₹1,989K - ₹2,165K"
47,"JLL
4.0",Senior Executive,"₹ 5,48,369"
48,"JLL
4.0",Assistant Manager,"₹ 9,05,546"
49,"JLL
4.0",Manager,"₹ 11,70,483"
50,"Simpl
4.3",Intern,"₹ 15,479/mo"
51,"Simpl
4.3",Operations,"₹ 15,579/mo"
52,"Simpl
4.3",Software Engineer,"₹1,906K - ₹2,080K"
53,"Simpl
4.3",Internship,₹15K - ₹16K
54,"Simpl
4.3",Business Development Manager,"₹2,358K - ₹2,532K"
55,"Finaxar
3.2",Manager,"₹964K - ₹1,045K"
56,"Finaxar
3.2",Software Engineer Trainee,₹21K - ₹22K
57,"Finaxar
3.2",Commercial Loan Consultant,₹25K - ₹27K
58,"Barclays
3.9",Assistant Vice President,"₹ 23,88,181"
59,"Barclays
3.9",Analyst,"₹ 9,97,034"
60,"Barclays
3.9",Assistant Manager,"₹ 12,72,257"
61,"Barclays
3.9",Business Analyst,"₹ 10,57,850"
62,"Barclays
3.9",Vice President,"₹ 44,55,499"
63,"Cactus Communications
3.7",Associate Editor,"₹ 39,517/mo"
64,"Cactus Communications
3.7",Associate Editor,"₹ 5,27,746"
65,"Cactus Communications
3.7",Managing Editor,"₹ 9,93,396"
66,"Cactus Communications
3.7",Managing Editor,"₹ 70,138/mo"
67,"Cactus Communications
3.7",Project Manager,"₹ 8,75,187"
68,"Live Connections
4.0",Lead Consultant,"₹ 23,368/mo"
69,"Live Connections
4.0",Executive,₹13K - ₹14K
70,"Live Connections
4.0",Sales Manager,₹27K - ₹29K
71,"Live Connections
4.0",Inventory Associate,₹41K - ₹44K
72,"Live Connections
4.0",HR- Consultant,"₹1,124K - ₹1,227K"
73,"Genpact
3.6",Assistant Manager,"₹ 7,62,305"
74,"Genpact
3.6",Business Analyst,"₹ 6,61,300"
75,"Genpact
3.6",Process Associate,"₹ 2,10,565"
76,"Genpact
3.6",Process Developer,"₹ 3,44,192"
77,"Genpact
3.6",Manager,"₹ 12,24,366"
78,"Apple
4.7",Data Entry Analyst,₹114K - ₹124K
79,"Apple
4.7",Software Engineer,"₹ 7,85,542"
80,"Apple
4.7",Customer Service Representative,"₹ 30,474/mo"
81,"Apple
4.7",Sales Associate,"₹ 23,130/mo"
82,"Apple
4.7",Retail Store Manager,"₹ 4,75,857"
83,"Toppr
3.1",Academic Consultant,"₹ 26,012/mo"
84,"Toppr
3.1",Academic Consultant,"₹ 3,45,770"
85,"Toppr
3.1",Software Engineer,"₹ 10,08,981"
86,"Toppr
3.1",Subject Matter Expert,"₹ 4,30,613"
87,"Toppr
3.1",Sales Associate,"₹ 28,649/mo"
88,"Hike
4.3",Data Analyst,"₹1,171K - ₹2,144K"
89,"Hike
4.3",Data Analyst,₹41K - ₹44K
90,"Hike
4.3",Software Engineer,"₹ 12,80,775"
91,"Hike
4.3",Senior Software Engineer,"₹ 28,98,947"
92,"Hike
4.3",Software Development Engineer,"₹ 18,27,144"
93,"Unacademy
4.2",Educator,"₹ 25,395/mo"
94,"Unacademy
4.2",Associate Product Manager,"₹1,177K - ₹1,315K"
95,"Unacademy
4.2",IPKM,₹10K - ₹271K
96,"Unacademy
4.2",Learner Relationship Manager,₹476K - ₹574K
97,"Unacademy
4.2",Associate Category Lead,₹436K - ₹637K
98,"Cognizant
3.7",Data Analyst,"₹ 5,38,266"
99,"Cognizant
3.7",Data Analyst,"₹ 31,613/mo"
100,"Cognizant
3.7",Junior Data Analyst,"₹ 4,24,242"
101,"Cognizant
3.7",Senior Process Data Analyst,"₹ 40,631/mo"
102,"Cognizant
3.7",Junior Data Analyst,"₹ 27,498/mo"
103,"CoinDCX
4.4",Consulting Engineer.,₹31K - ₹33K
104,"CoinDCX
4.4",Consulting Engineer.,"₹1,034K - ₹1,119K"
105,"CoinDCX
4.4",Community Journalist,₹47K - ₹51K
106,"CoinDCX
4.4",Commission Sales- Big Ticket,₹ 479 - ₹ 525
107,"CoinDCX
4.4",Aircraft Maintenance Engineer,₹30K - ₹33K
108,"Paytm
3.4",Data Analyst,₹19K - ₹21K
109,"Paytm
3.4",Software Engineer,"₹ 10,91,744"
110,"Paytm
3.4",Senior Software Engineer,"₹ 17,85,469"
111,"Paytm
3.4",Product Manager,"₹ 22,55,948"
112,"Paytm
3.4",Software Developer,"₹ 10,74,781"
113,"Indium Software
4.0",Test Engineer,"₹ 3,55,153"
114,"Indium Software
4.0",Test Engineer,"₹ 20,894/mo"
