,Company Name,Job Title,Salary
0,"Buckman
3.5",Intern,₹26K - ₹29K
1,"Buckman
3.5",IOT Engineer,₹766K - ₹836K
2,"IBM
3.9",Data Scientist,"₹ 12,49,740"
3,"IBM
3.9",Data Scientist,"₹ 41,484/mo"
4,"IBM
3.9",Senior Data Scientist,"₹ 30,53,418"
5,"IBM
3.9",Data Scientist/Software Engineer,₹30K - ₹105K
6,"IBM
3.9",Entry Level Data Scientist,₹266K - ₹287K
7,"Honeywell
3.8",Data Scientist,"₹1,023K - ₹1,463K"
8,"Honeywell
3.8",Senior Engineer,"₹ 10,28,686"
9,"Honeywell
3.8",Tech Lead,"₹ 16,14,797"
10,"Honeywell
3.8",Senior Software Engineer,"₹ 10,53,776"
11,"Honeywell
3.8",Engineer,"₹ 6,68,415"
12,"Amazon
4.2",Data Scientist,"₹ 15,49,198"
13,"Amazon
4.2",Senior Data Scientist,"₹2,878K - ₹3,156K"
14,"Amazon
4.2",Data Scientist II,"₹1,872K - ₹2,027K"
15,"Amazon
4.2",Applied Data Scientist,"₹1,874K - ₹2,049K"
16,"Amazon
4.2",Applied Data Scientist,₹43K - ₹47K
17,"PayPal
3.6",Data Scientist,₹218K - ₹238K
18,"PayPal
3.6",Software Engineer,"₹ 12,23,633"
19,"PayPal
3.6",Software Engineer III,"₹ 21,51,802"
20,"PayPal
3.6",Software Engineer II,"₹ 16,13,973"
21,"PayPal
3.6",Senior Software Engineer,"₹ 18,00,000"
22,"Blue Yonder
4.3",Data Scientist,"₹1,717K - ₹1,836K"
23,"Blue Yonder
4.3",Senior Data Scientist,"₹3,345K - ₹3,644K"
24,"Blue Yonder
4.3",Senior Software Engineer,"₹ 14,45,514"
25,"Blue Yonder
4.3",Software Engineer,"₹ 7,77,541"
26,"Blue Yonder
4.3",Technical Architect,"₹ 19,01,932"
27,"Quanticate
4.0",Former Employee,₹289K - ₹311K
28,"Quanticate
4.0",Clinical Data Coordinator,₹414K - ₹447K
29,"Quanticate
4.0",Senior SAS Programmer,₹749K - ₹815K
30,"Quanticate
4.0",General Counsel/Associate Director,₹119K - ₹130K
31,"Quanticate
4.0",CDM Programmer,₹854K - ₹938K
32,"Refinitiv
3.5",Content Analyst,"₹ 3,43,794"
33,"Refinitiv
3.5",Software Engineer,"₹ 5,54,175"
34,"Refinitiv
3.5",Associate Software Engineer,"₹ 5,40,060"
35,"Refinitiv
3.5",Senior Content Analyst,"₹ 6,00,000"
36,"Refinitiv
3.5",Senior Software Engineer,"₹807K - ₹1,886K"
37,"NICE Actimize
3.9",Lead Data Scientist,"₹2,267K - ₹2,465K"
38,"NICE Actimize
3.9",Software Engineer,₹655K - ₹726K
39,"NICE Actimize
3.9",IPC,₹819K - ₹893K
40,"NICE Actimize
3.9",Tech Lead,"₹1,135K - ₹1,225K"
41,"NICE Actimize
3.9",QA Engineer,₹472K - ₹511K
42,"GroundTruth
3.3",Software Engineer,₹759K - ₹827K
43,"GroundTruth
3.3",Software Developer,₹430K - ₹461K
44,"GroundTruth
3.3",Manager,₹618K - ₹663K
45,"GroundTruth
3.3",Accounting Assistant,₹28K - ₹30K
46,"GroundTruth
3.3",Billing Specialist,₹23K - ₹25K
47,"TransUnion
4.0",Assistant Vice President,"₹ 27,09,710"
48,"TransUnion
4.0",Consultant,"₹1,923K - ₹2,784K"
49,"TransUnion
4.0",Data Analyst,₹14K - ₹31K
50,"TransUnion
4.0",Associate Engineer,₹860K - ₹973K
51,"TransUnion
4.0",Assistant Manager,"₹1,407K - ₹1,533K"
52,"TTEC
3.4",Customer Service Representative,"₹ 24,171/mo"
53,"TTEC
3.4",Fraud Analyst,₹19K - ₹24K
54,"TTEC
3.4",Click To Chat Representative,₹23K - ₹26K
55,"TTEC
3.4",Fraud Prevention Analyst,₹26K - ₹29K
56,"TTEC
3.4",Chat Associate,₹24K - ₹26K
57,"IHS Markit
3.5",Associate Data Scientist,"₹2,027K - ₹2,194K"
58,"IHS Markit
3.5",Assistant Vice President,"₹ 12,80,775"
59,"IHS Markit
3.5",Associate,"₹ 6,72,638"
60,"IHS Markit
3.5",Software Engineer,"₹ 7,91,836"
61,"IHS Markit
3.5",Vice President,"₹ 22,24,243"
62,"Novartis
3.9",Senior Analyst,"₹ 12,23,878"
63,"Novartis
3.9",Manager,"₹ 19,00,000"
64,"Novartis
3.9",Analyst,"₹ 8,77,168"
65,"Novartis
3.9",Business Analyst,"₹ 7,69,557"
66,"Novartis
3.9",Associate Analyst,"₹ 7,22,757"
67,Cove Venture,-1,-1
68,"Accenture
3.9",Software Engineer,"₹ 5,29,793"
69,"Accenture
3.9",Associate Software Engineer,"₹ 3,85,101"
70,"Accenture
3.9",Senior Software Engineer,"₹ 8,19,983"
71,"Accenture
3.9",Team Lead,"₹ 12,00,000"
72,"Accenture
3.9",Associate Manager,"₹ 18,48,460"
73,"Diamondpick
4.8",Senior Recruiter,₹304K - ₹478K
74,"Diamondpick
4.8",Human Resources,₹47K - ₹51K
75,"Diamondpick
4.8",Recruiter,₹338K - ₹367K
76,"Diamondpick
4.8",IT Recruiter,₹11K - ₹12K
77,"Diamondpick
4.8",IT Recruiter,₹172K - ₹185K
78,"Quincus
4.0",Data Analyst,₹383K - ₹412K
79,"Credit Suisse
3.8",ENO,"₹ 14,01,236"
80,"Credit Suisse
3.8",Credit Suisse ENO,"₹ 12,05,960"
81,"Credit Suisse
3.8",Assistant Vice President,"₹ 27,00,300"
82,"Credit Suisse
3.8","ENO, Credit Suisse","₹ 12,00,317"
83,"Credit Suisse
3.8",Exempt Non Officer,"₹ 11,65,598"
84,"Franklin Templeton Investments
3.8",Data Scientist,"₹1,063K - ₹1,159K"
85,"Franklin Templeton Investments
3.8",Assistant Manager,"₹ 11,85,498"
86,"Franklin Templeton Investments
3.8",Software Engineer,"₹ 11,70,916"
87,"Franklin Templeton Investments
3.8",Business Analyst,"₹ 6,17,376"
88,"Franklin Templeton Investments
3.8",Analyst,"₹ 3,73,557"
89,"Mastek Limited
3.6",Software Engineer,"₹ 5,31,172"
90,"Mastek Limited
3.6",Senior Software Engineer,"₹ 7,67,939"
91,"Mastek Limited
3.6",Senior Software Engineer,"₹ 48,775/mo"
92,"Mastek Limited
3.6",Software Specialist,"₹ 11,93,183"
93,"Mastek Limited
3.6",Software Engineer,"₹ 34,335/mo"
94,"Processware Systems
3.5",Software Engineer,"₹ 15,798/mo"
95,"Processware Systems
3.5",Software Engineer,"₹ 2,52,496"
96,"Processware Systems
3.5",Senior Software Engineer,₹126K - ₹136K
97,"Processware Systems
3.5",Team Lead,₹804K - ₹866K
98,"Processware Systems
3.5",Software Testing Engineer,₹168K - ₹181K
99,R3coder,-1,-1
100,"Dell Technologies
4.1","Senior Advisor, Data Intelligence Engineer","₹2,079K - ₹2,245K"
101,"Dell Technologies
4.1",Software Engineer,"₹ 8,06,729"
102,"Dell Technologies
4.1",Senior Software Engineer,"₹ 15,74,950"
103,"Dell Technologies
4.1",Senior Analyst,"₹ 9,93,214"
104,"Dell Technologies
4.1",Principal Software Engineer,"₹ 23,46,589"
105,"Autodesk
4.0",Senior Software Engineer,"₹ 16,55,858"
106,"Autodesk
4.0",Intern,"₹ 28,190/mo"
107,"Autodesk
4.0",Software Development,"₹ 24,830/mo"
108,"Autodesk
4.0",Software Engineer,"₹115K - ₹1,274K"
109,"Autodesk
4.0",Software Developer,"₹1,250K - ₹1,631K"
110,"Tata Insights and Quants
4.0",Data Scientist,"₹1,904K - ₹2,062K"
111,"Tata Insights and Quants
4.0",Systems Engineer,"₹ 5,08,660"
112,"Tata Insights and Quants
4.0",Software Engineer,"₹ 4,65,134"
113,"Tata Insights and Quants
4.0",Manager,"₹ 9,97,928"
114,"Tata Insights and Quants
4.0",Mechanical Engineer,"₹ 24,669/mo"
115,"Mercedes-Benz Research and Development India Private Limited
3.5",Data Scientist,"₹1,021K - ₹1,095K"
